Source;Lyrics File;Song ID;Song Title;File Path;IsMatch;Artist;Album;Score;Status;Has Variants;Variant Rank
crh_lt;Unknown - Джанай;Rwoo3SmzBhkG2Rv0COdsYU;Yalçın Faik-Al qoyan canay;scripts/lyrics_crh_lt/Unknown - Джанай.txt;N;Yalçın Faik;Yalçın Faik;0.53;LOW;YES;1/2
crh_lt;Bekir Çoban-Zade - Til Ükü;PrD4hZs1dVwL6KLlcXPiF6;Dilâver Osmanov-Badem terek;scripts/lyrics_crh_lt/Bekir Çoban-Zade - Til Ükü.txt;N;Dilâver Osmanov;Dilâver Osmanov;0.49;LOW;NO;
crh_lt;The Lord's Prayer - Бизим Коклердеки Бабамыз;zvkar3WqNeMdIF1EbMQssu;Elnara Küçük-Közleri aldatmaz;scripts/lyrics_crh_lt/The Lord's Prayer - Бизим Коклердеки Бабамыз.txt;N;Elnara Küçük;Elnara Küçük;0.46;LOW;NO;
crh_lt;Edvin Eddy - Yarem sensiñ;YCshUPFtK4THK4COkYwN65;Marlen Settarov-Körem seni;scripts/lyrics_crh_lt/Edvin Eddy - Yarem sensiñ.txt;N;Marlen Settarov;Marlen Settarov;0.54;LOW;NO;
crh_lt;Unknown - Boysunmağan;5PGXGHhxDnJnXMhv4qj2cI;Yalçın Faik-Yol boyunda;scripts/lyrics_crh_lt/Unknown - Boysunmağan.txt;N;Yalçın Faik;Yalçın Faik;0.49;LOW;NO;
crh_lt;Eşref Şemizade - Közyaş Divar;6B65UGLV0nq6dMFwZC4Nsu;Ernes Emirasanov-Meni yaqma;scripts/lyrics_crh_lt/Eşref Şemizade - Közyaş Divar.txt;N;Ernes Emirasanov;Ernes Emirasanov;0.49;LOW;NO;
crh_lt;National Anthems & Patriotic Songs - Crimean People's Republic, National Anthem of (1917~1918) - Ant etkenmen;qcZqZ7JyfRbDJDlLkEwnyF;Qırım Halqınıñ Milliy Marşı-Crimean's National Anthem;scripts/lyrics_crh_lt/National Anthems & Patriotic Songs - Crimean People's Republic, National Anthem of (1917~1918) - Ant etkenmen.txt;N;Gimn;Gimn;0.39;LOW;NO;
crh_lt;Arslanbek Sultanbekov - Родина;fGLcd5PdrXaw1OUjalDwEo;Ruslan Arslanbekov-Sultaniye;scripts/lyrics_crh_lt/Arslanbek Sultanbekov - Родина.txt;N;Ruslan Arslanbekov;Ruslan Arslanbekov;0.58;LOW;NO;
crh_lt;Mulan (OST) - Neci var karşımda yol alan [Reflection];0qUYVMvXMxrGdqUHbtVYUM;Mamet Kharkhara - Baydarava yollari;scripts/lyrics_crh_lt/Mulan (OST) - Neci var karşımda yol alan [Reflection].txt;N;Mamet Kharkhara;Mamet Kharkhara;0.47;LOW;NO;
crh_lt;Soviet Patriotic_Folk Songs - Шеитлернинъ Хатрына;SJ03NYuYQO7CCtVTyztYSD;Server Kakura-Totayköy horanı ve haytarma;scripts/lyrics_crh_lt/Soviet Patriotic_Folk Songs - Шеитлернинъ Хатрына.txt;N;Server Kakura;Server Kakura;0.47;LOW;NO;
crh_lt;Soviet Patriotic_Folk Songs - Qızıl asker marşı;CmrPvXpKCp5MADgsfS44i4;Şevket Zmorka-Rock haytarma;scripts/lyrics_crh_lt/Soviet Patriotic_Folk Songs - Qızıl asker marşı.txt;N;Şevket Zmorka;Şevket Zmorka;0.43;LOW;NO;
crh_lt;Evelina (Ukraine) - Sevgi yeli;2H5EaK0r3jgWdfPtl4q5tP;Server Kakura-Sevgilim;scripts/lyrics_crh_lt/Evelina (Ukraine) - Sevgi yeli.txt;N;Server Kakura;Server Kakura;0.6;LOW;NO;
crh_lt;Unknown Artist (Crimean Tatar) - Şeitlerniñ Hatrına;uHp93r0rsWi7Bv0R6pVhmD;FortRoyalBeatz-Crimean Tatar Trap (2013 Mix);scripts/lyrics_crh_lt/Unknown Artist (Crimean Tatar) - Şeitlerniñ Hatrına.txt;N;FortRoyalBeatz (EmCiEl);FortRoyalBeatz (EmCiEl);0.48;LOW;NO;
crh_lt;Anonim qırım - Эки чешме;A3wlh3SWDditpSMFDzmebx;Qırım-Tım-tım (eski);scripts/lyrics_crh_lt/Anonim qırım - Эки чешме.txt;N;Qırım;Qırım;0.57;LOW;NO;
crh_lt;The Lion King (OST) - Yarıqqa qaranlıq [Circle of Life];QAdgKUHomCT46ivbLXe4of;Alim Osmanov (Qara Deñiz)-Nazlı Leylâm (Öt bülbülim);scripts/lyrics_crh_lt/The Lion King (OST) - Yarıqqa qaranlıq [Circle of Life].txt;N;Alim Osmanov (Qara Deñiz);Alim Osmanov (Qara Deñiz);0.46;LOW;NO;
crh_lt;Crimean Tatar Folk - Alemge deñişmem;26LjJOYHiKyQmkF40rMkwD;Nariman Baliç-Qara deñiz;scripts/lyrics_crh_lt/Crimean Tatar Folk - Alemge deñişmem.txt;N;Nariman Baliç;Nariman Baliç;0.49;LOW;NO;
qmusic;038 - Quote;jBZ4wJ6XwoGbDiSQYmnxab;Asan Umerov-Rustem;scripts/lyrics_qmusic/038 - Quote.txt;N;Asan Umerov;Asan Umerov;0.38;LOW;YES;1/4
qmusic;044 - Quote;jBZ4wJ6XwoGbDiSQYmnxab;Asan Umerov-Rustem;scripts/lyrics_qmusic/044 - Quote.txt;N;Asan Umerov;Asan Umerov;0.38;LOW;YES;2/4
qmusic;057 - Quote;jBZ4wJ6XwoGbDiSQYmnxab;Asan Umerov-Rustem;scripts/lyrics_qmusic/057 - Quote.txt;N;Asan Umerov;Asan Umerov;0.38;LOW;YES;3/4
qmusic;059 - Quote;jBZ4wJ6XwoGbDiSQYmnxab;Asan Umerov-Rustem;scripts/lyrics_qmusic/059 - Quote.txt;N;Asan Umerov;Asan Umerov;0.38;LOW;YES;4/4
qmusic;030 - Bayrach;ch9yJIkShIA2DCB0T9AMkH;Bayram-Haytarma;scripts/lyrics_qmusic/030 - Bayrach.txt;N;Bayram;Bayram;0.48;LOW;NO;
qmusic;040 - Cılama, kelin, cılama,;FtlHQR8NpoxOexHGmzinrF;Salaçıq-Ağlama kelin;scripts/lyrics_qmusic/040 - Cılama, kelin, cılama,.txt;N;Salaçıq;Salaçıq;0.57;LOW;NO;
qmusic;035 - O-skin;NlNRZJMQfdGVt7DuIuUaVy;Arsen Osmanov-Kiçkene;scripts/lyrics_qmusic/035 - O-skin.txt;N;Arsen Osmanov;Arsen Osmanov;0.41;LOW;NO;
qmusic;015 - Селям алейкум))))пожалуйста напишите слова из;Y9bA7s85tvp57W6tjGLn2E;Alim Hakimov-Прості слова;scripts/lyrics_qmusic/015 - Селям алейкум))))пожалуйста напишите слова из.txt;N;Alim Hakimov;Alim Hakimov;0.49;LOW;NO;
qmusic;043 - Селям алейкум джемаат. _шеер чокъ;Psh46CTsLplueh3U3La7AN;Qatırşa-Saray-Mına selâm aleyküm (Crimean song);scripts/lyrics_qmusic/043 - Селям алейкум джемаат. _шеер чокъ.txt;N;Qatırşa-Saray;Qatırşa-Saray;0.52;LOW;YES;1/3
qmusic;065 - селям алейкум! срочно нужна минусовка;Psh46CTsLplueh3U3La7AN;Qatırşa-Saray-Mına selâm aleyküm (Crimean song);scripts/lyrics_qmusic/065 - селям алейкум! срочно нужна минусовка.txt;N;Qatırşa-Saray;Qatırşa-Saray;0.48;LOW;YES;2/3
qmusic;037 - Всем селям!!! Люди, у кого;Psh46CTsLplueh3U3La7AN;Qatırşa-Saray-Mına selâm aleyküm (Crimean song);scripts/lyrics_qmusic/037 - Всем селям!!! Люди, у кого.txt;N;Qatırşa-Saray;Qatırşa-Saray;0.45;LOW;YES;3/3
