Source,Lyrics File,Song ID,Song Title,Artist,Album,Score,Status,Has Variants,Variant Rank,File Path
crh_lt,Güzel - Millet,KKQmYCOB3NziHxw0oB5E71,Güzel-Millet,Güzel,Güzel,0.87,HIGH,NO,,scripts/lyrics_crh_lt/Güzel - Millet.txt
crh_lt,Elzara Batalova - Qalaylı Qazan,hgH1oJkQJzdnvRSGEwwwaK,Elzara Batalova-Ялта,Elzara Batalova,Elzara Batalova,0.83,HIGH,NO,,scripts/lyrics_crh_lt/Elzara Batalova - Qalaylı Qazan.txt
crh_lt,Glen Hansard - Take Heart,9CRvj7OsPTjZxXJCl74cCT,Emine Kasarayeva-Kim arar,Emine Kasarayeva,Emine Kasarayeva,0.51,LOW,NO,,scripts/lyrics_crh_lt/Glen Hansard - Take Heart.txt
crh_lt,Jamala - GİDER İSEÑ,vrGXS2rgvzRDDriWuis5QX,Jamala-Gopher (Live),Jamala,Jamala,0.81,HIGH,NO,,scripts/lyrics_crh_lt/Jamala - GİDER İSEÑ.txt
crh_lt,Fevzi Bilalov - Salğır Boyu,wi0lQ8q0wsRzIzFjpb2dDm,Fevzi Bilâlov-Salğır boyu,Fevzi Bilâlov,Fevzi Bilâlov,1.04,HIGH,NO,,scripts/lyrics_crh_lt/Fevzi Bilalov - Salğır Boyu.txt
crh_lt,Güzel - Sevgi tura taş temelde,hrgEEdwC3yBtfjh76mF6oB,Güzel-Sevgi tura taş temelde,Güzel,Güzel,0.91,HIGH,NO,,scripts/lyrics_crh_lt/Güzel - Sevgi tura taş temelde.txt
crh_lt,Unknown - Qaytıp kel maña,rRssFfQPZXPEfOgnWCWvQn,Aliye Cepparova-Qaytıp kel maña,Aliye Cepparova,Aliye Cepparova,0.57,LOW,NO,,scripts/lyrics_crh_lt/Unknown - Qaytıp kel maña.txt
crh_lt,Emiliya Ablayeva - Sağınuv,2UeTnjPNOvepgtyFiHepdj,Emiliya Ablayeva-Sağınuv,Emiliya Ablayeva,Emiliya Ablayeva,1.04,HIGH,NO,,scripts/lyrics_crh_lt/Emiliya Ablayeva - Sağınuv.txt
crh_lt,Unknown - Tek seni seveyim,iu5GdgDsl2rsnqJeKdBUTe,Zera Kenjikayeva-Tek seni seveyim,Zera Kenjikayeva,Zera Kenjikayeva,0.64,MEDIUM,NO,,scripts/lyrics_crh_lt/Unknown - Tek seni seveyim.txt
crh_lt,Bekir Çoban-Zade - Ana Tilim,VZwONLFilH9ugS4zMkDxjJ,Bekir Adilov-Sevimli anam,Bekir Adilov,Bekir Adilov,0.57,LOW,YES,1/2,scripts/lyrics_crh_lt/Bekir Çoban-Zade - Ana Tilim.txt
